MSN,Description,Unit,Energy type,sector,appendix,unit2,cleanliness
EMTCV,"Fuel ethanol, excluding denaturant, total expenditures.",Million dollars,EM,T,C,V,
ENACP,"Fuel ethanol, including denaturant, consumed by the transportation sector.",Thousand barrels,EN,A,C,P,clean energy
ENCCP,"Fuel ethanol, including denaturant, consumed by the commercial sector.",Thousand barrels,EN,C,C,P,clean energy
ENICP,"Fuel ethanol, including denaturant, consumed by the industrial sector.",Thousand barrels,EN,I,C,P,clean energy
ENPRP,"Fuel ethanol production, including denaturant.",Thousand barrels,EN,P,R,P,clean energy
ENTCK,Factor for converting fuel ethanol consumption from physical units to Btu.,Million Btu per barrel,EN,T,C,K,clean energy
ENTCP,"Fuel ethanol, including denaturant, total consumption.",Thousand barrels,EN,T,C,P,clean energy
ESACB,"Electricity consumed by (i.e., sold to) the transportation sector.",Billion Btu,ES,A,C,B,
ESACD,Electricity price in the transportation sector.,Dollars per million Btu,ES,A,C,D,
ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,ES,A,C,P,
ESACV,Electricity expenditures in the transportation sector.,Million dollars,ES,A,C,V,
ESCCB,"Electricity consumed by (i.e., sold to) the commercial sector.",Billion Btu,ES,C,C,B,
ESCCD,Electricity price in the commercial sector.,Dollars per million Btu,ES,C,C,D,
ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,ES,C,C,P,
ESCCV,Electricity expenditures in the commercial sector.,Million dollars,ES,C,C,V,
ESICB,"Electricity consumed by (i.e., sold to) the industrial sector.",Billion Btu,ES,I,C,B,
ESICD,Electricity price in the industrial sector.,Dollars per million Btu,ES,I,C,D,
ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,ES,I,C,P,
ESICV,Electricity expenditures in the industrial sector.,Million dollars,ES,I,C,V,
ESISB,Electricity sales to the industrial sector excluding refinery use.,Billion Btu,ES,I,S,B,
ESRCB,"Electricity consumed by (i.e., sold to) the residential sector.",Billion Btu,ES,R,C,B,
ESRCD,Electricity price in the residential sector.,Dollars per million Btu,ES,R,C,D,
ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,ES,R,C,P,
ESRCV,Electricity expenditures in the residential sector.,Million dollars,ES,R,C,V,
ESRFB,Electricity consumed by refineries.,Billion Btu,ES,R,F,B,
ESTCB,"Electricity total consumption (i.e., sold).",Billion Btu,ES,T,C,B,
ESTCD,"Electricity average price, all sectors.",Dollars per million Btu,ES,T,C,D,
ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,ES,T,C,P,
ESTCV,Electricity total expenditures.,Million dollars,ES,T,C,V,
ESTXB,"Electricity total end-use consumption (i.e., sold).",Billion Btu,ES,T,X,B,
ESTXD,"Electricity average price, all end-use sectors.",Dollars per million Btu,ES,T,X,D,
ESTXP,"Electricity total end-use consumption (i.e., sold).",Thousand barrels,ES,T,X,P,
ESTXV,Electricity total end-use expenditures.,Million dollars,ES,T,X,V,
FFETK,"Fossil fueled steam-electric power plant conversion factor, United States only.",Thousand Btu per kilowatthour,FF,E,T,K,unclean energy
FFTCB,"Fossil fuelS, total consumption.",Billion Btu,FF,T,C,B,unclean energy
FNICB,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Billion Btu,FN,I,C,B,
FNICD,"Petrochemical feedstocks, naphtha less than 401 F, price in the industrial sector.",Dollars per million Btu,FN,I,C,D,
FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,FN,I,C,P,
FNICV,"Petrochemical feedstocks, naphtha less than 401 F, expenditures in the industrial sector.",Million dollars,FN,I,C,V,
FOICB,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Billion Btu,FO,I,C,B,
FOICD,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, price in the industrial sector.",Dollars per million Btu,FO,I,C,D,
FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,FO,I,C,P,
FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, expenditures in the industrial sector.",Million dollars,FO,I,C,V,
FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Billion Btu,FS,I,C,B,
FSICD,"Petrochemical feedstocks, still gas, price in the industrial sector.",Dollars per million Btu,FS,I,C,D,
FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,FS,I,C,P,
FSICV,"Petrochemical feedstocks, still gas, expenditures in the industrial sector.",Million dollars,FS,I,C,V,
GDPRV,Current-dollar gross domestic product.,Million dollars,GD,P,R,V,
GDPRX,Real gross domestic product.,Million chained (2005) dollars,GD,P,R,X,
GECCB,Direct use of geothermal energy and heat pumps in the commercial sector.,Billion Btu,GE,C,C,B,clean energy
GEEGB,Electricity produced from geothermal energy by the electric power sector.,Billion Btu,GE,E,G,B,clean energy
GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,GE,E,G,P,clean energy
GEICB,Direct use of geothermal energy and heat pumps in the industrial sector.,Billion Btu,GE,I,C,B,clean energy
GERCB,Direct use of geothermal energy and heat pumps in the residential sector.,Billion Btu,GE,R,C,B,clean energy
GETCB,Geothermal energy total consumption.,Billion Btu,GE,T,C,B,clean energy
GETXB,Geothermal total end-use consumption.,Billion Btu,GE,T,X,B,clean energy
GOCCB,Geothermal energy and hydroelectricity consumed in the commercial sector.,Billion Btu,GO,C,C,B,clean energy
GORCB,Geothermal and solar energy consumed in the residential sector.,Billion Btu,GO,R,C,B,clean energy
HYCCB,Hydroelectricity produced in the commercial sector.,Billion Btu,HY,C,C,B,clean energy
HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,HY,C,C,P,clean energy
HYEGB,Hydroelectricity produced by the electric power sector.,Billion Btu,HY,E,G,B,clean energy
HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,HY,E,G,P,clean energy
HYICB,Hydroelectricity produced in the industrial sector.,Billion Btu,HY,I,C,B,clean energy
HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,HY,I,C,P,clean energy
HYTCB,Hydroelectricity total production.,Billion Btu,HY,T,C,B,clean energy
HYTCP,Hydroelectricity total production.,Million kilowatthours,HY,T,C,P,clean energy
HYTXB,Hydroelectricity produced by the end-use sectors.,Billion Btu,HY,T,X,B,clean energy
HYTXP,Hydroelectricity produced by the end-use sectors.,Million kilowatthours,HY,T,X,P,clean energy
JFACB,Jet fuel consumed by the transportation sector.,Billion Btu,JF,A,C,B,
JFACD,Jet fuel price in the transportation sector.,Dollars per million Btu,JF,A,C,D,
JFACP,Jet fuel consumed by the transportation sector.,Thousand barrels,JF,A,C,P,
JFACV,Jet fuel expenditures in the transportation sector.,Million dollars,JF,A,C,V,
JFTCB,Jet fuel total consumption.,Billion Btu,JF,T,C,B,
JFTCD,"Jet fuel average price, all sectors.",Dollars per million Btu,JF,T,C,D,
JFTCP,Jet fuel total consumption.,Thousand barrels,JF,T,C,P,
JFTCV,Jet fuel total expenditures.,Million dollars,JF,T,C,V,
JFTXB,Jet fuel total end-use consumption.,Billion Btu,JF,T,X,B,
JFTXD,"Jet fuel average price, all end-use sectors.",Dollars per million Btu,JF,T,X,D,
JFTXP,Jet fuel total end-use consumption.,Thousand barrels,JF,T,X,P,
JFTXV,Jet fuel total end-use expenditures.,Million dollars,JF,T,X,V,
JKACB,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu,JK,A,C,B,
JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,JK,A,C,P,
JKTCB,Kerosene-type jet fuel total consumption.,Billion Btu,JK,T,C,B,
JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,JK,T,C,P,
JNACB,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu,JN,A,C,B,
JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,JN,A,C,P,
JNTCB,Naphtha-type jet fuel total consumption.,Billion Btu,JN,T,C,B,
JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels,JN,T,C,P,
KSCCB,Kerosene consumed by the commercial sector.,Billion Btu,KS,C,C,B,
KSCCD,Kerosene price in the commercial sector.,Dollars per million Btu,KS,C,C,D,
KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels,KS,C,C,P,
KSCCV,Kerosene expenditures in the commercial sector.,Million dollars,KS,C,C,V,
KSICB,Kerosene consumed by the industrial sector.,Billion Btu,KS,I,C,B,
KSICD,Kerosene price in the industrial sector.,Dollars per million Btu,KS,I,C,D,
KSICP,Kerosene consumed by the industrial sector.,Thousand barrels,KS,I,C,P,
KSICV,Kerosene expenditures in the industrial sector.,Million dollars,KS,I,C,V,
KSRCB,Kerosene consumed by the residential sector.,Billion Btu,KS,R,C,B,
KSRCD,Kerosene price in the residential sector.,Dollars per million Btu,KS,R,C,D,
KSRCP,Kerosene consumed by the residential sector.,Thousand barrels,KS,R,C,P,
KSRCV,Kerosene expenditures in the residential sector.,Million dollars,KS,R,C,V,
KSTCB,Kerosene total consumption.,Billion Btu,KS,T,C,B,
KSTCD,"Kerosene average price, all sectors.",Dollars per million Btu,KS,T,C,D,
KSTCP,Kerosene total consumption.,Thousand barrels,KS,T,C,P,
KSTCV,Kerosene total expenditures.,Million dollars,KS,T,C,V,
KSTXB,Kerosene total end-use consumption.,Billion Btu,KS,T,X,B,
KSTXD,"Kerosene average price, all end-use sectors.",Dollars per million Btu,KS,T,X,D,
KSTXP,Kerosene total end-use consumption.,Thousand barrels,KS,T,X,P,
KSTXV,Kerosene total end-use expenditures.,Million dollars,KS,T,X,V,
LGACB,LPG consumed by the transportation sector.,Billion Btu,LG,A,C,B,
LGACD,LPG price in the transportation sector.,Dollars per million Btu,LG,A,C,D,
LGACP,LPG consumed by the transportation sector.,Thousand barrels,LG,A,C,P,
LGACV,LPG expenditures in the transportation sector.,Million dollars,LG,A,C,V,
LGCCB,LPG consumed by the commercial sector.,Billion Btu,LG,C,C,B,
LGCCD,LPG price in the commercial sector.,Dollars per million Btu,LG,C,C,D,
LGCCP,LPG consumed by the commercial sector.,Thousand barrels,LG,C,C,P,
LGCCV,LPG expenditures in the commercial sector.,Million dollars,LG,C,C,V,
LGICB,LPG consumed by the industrial sector.,Billion Btu,LG,I,C,B,
LGICD,LPG price in the industrial sector.,Dollars per million Btu,LG,I,C,D,
LGICP,LPG consumed by the industrial sector.,Thousand barrels,LG,I,C,P,
LGICV,LPG expenditures in the industrial sector.,Million dollars,LG,I,C,V,
LGISB,LPG consumed in the industrial sector excluding refinery fuel.,Billion Btu,LG,I,S,B,
LGRCB,LPG consumed by the residential sector.,Billion Btu,LG,R,C,B,
LGRCD,LPG price in the residential sector.,Dollars per million Btu,LG,R,C,D,
LGRCP,LPG consumed by the residential sector.,Thousand barrels,LG,R,C,P,
LGRCV,LPG expenditures in the residential sector.,Million dollars,LG,R,C,V,
LGRFB,LPG consumed as refinery fuel.,Billion Btu,LG,R,F,B,
LGTCB,LPG total consumption.,Billion Btu,LG,T,C,B,
LGTCD,"LPG average price, all sectors.",Dollars per million Btu,LG,T,C,D,
LGTCK,"Factor for converting LPG physical units to Btu, United States only.",Million Btu per barrel,LG,T,C,K,
LGTCP,LPG total consumption.,Thousand barrels,LG,T,C,P,
LGTCV,LPG total expenditures.,Million dollars,LG,T,C,V,
LGTXB,LPG total end-use consumption.,Billion Btu,LG,T,X,B,
LGTXD,"LPG average price, all end-use sectors.",Dollars per million Btu,LG,T,X,D,
LGTXP,LPG total end-use consumption.,Thousand barrels,LG,T,X,P,
LGTXV,LPG total end-use expenditures.,Million dollars,LG,T,X,V,
LOACB,The transportation sector's share of electrical system energy losses.,Billion Btu,LO,A,C,B,
LOCCB,The commercial sector's share of electrical system energy losses.,Billion Btu,LO,C,C,B,
LOICB,The industrial sector's share of electrical system energy losses.,Billion Btu,LO,I,C,B,
LORCB,The residential sector's share of electrical system energy losses.,Billion Btu,LO,R,C,B,
LOTCB,Total electrical system energy losses.,Billion Btu,LO,T,C,B,
LOTXB,Total electrical system energy losses allocated to the end-use sectors.,Billion Btu,LO,T,X,B,
LUACB,Lubricants consumed by the transportation sector.,Billion Btu,LU,A,C,B,
LUACD,Lubricants price in the transportation sector.,Dollars per million Btu,LU,A,C,D,
LUACP,Lubricants consumed by the transportation sector.,Thousand barrels,LU,A,C,P,
LUACV,Lubricants expenditures in the transportation sector.,Million dollars,LU,A,C,V,
LUICB,Lubricants consumed by the industrial sector.,Billion Btu,LU,I,C,B,
LUICD,Lubricants price in the industrial sector.,Dollars per million Btu,LU,I,C,D,
LUICP,Lubricants consumed by the industrial sector.,Thousand barrels,LU,I,C,P,
LUICV,Lubricants expenditures in the industrial sector.,Million dollars,LU,I,C,V,
LUTCB,Lubricants total consumption.,Billion Btu,LU,T,C,B,
LUTCD,"Lubricants average price, all sectors.",Dollars per million Btu,LU,T,C,D,
LUTCP,Lubricants total consumption.,Thousand barrels,LU,T,C,P,
LUTCV,"Lubricants average price, all sectors.",Million dollars,LU,T,C,V,
LUTXB,Lubricants total end-use consumption.,Billion Btu,LU,T,X,B,
LUTXD,"Lubricants average price, all end-use sectors.",Dollars per million Btu,LU,T,X,D,
LUTXP,Lubricants total end-use consumption.,Thousand barrels,LU,T,X,P,
LUTXV,Lubricants total end-use expenditures.,Million dollars,LU,T,X,V,
MBICB,Motor gasoline blending components consumed by the industrial sector.,Billion Btu,MB,I,C,B,
MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,MB,I,C,P,
MGACB,Motor gasoline consumed by the transportation sector.,Billion Btu,MG,A,C,B,
MGACD,Motor gasoline price in the transportation sector.,Dollars per million Btu,MG,A,C,D,
MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels,MG,A,C,P,
MGACV,Motor gasoline expenditures in the transportation sector.,Million dollars,MG,A,C,V,
MGCCB,Motor gasoline consumed by the commercial sector.,Billion Btu,MG,C,C,B,
MGCCD,Motor gasoline price in the commercial sector.,Dollars per million Btu,MG,C,C,D,
MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels,MG,C,C,P,
MGCCV,Motor gasoline expenditures in the commercial sector.,Million dollars,MG,C,C,V,
MGICB,Motor gasoline consumed by the industrial sector.,Billion Btu,MG,I,C,B,
MGICD,Motor gasoline price in the industrial sector.,Dollars per million Btu,MG,I,C,D,
MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels,MG,I,C,P,
MGICV,Motor gasoline expenditures in the industrial sector.,Million dollars,MG,I,C,V,
MGTCB,Motor gasoline total consumption.,Billion Btu,MG,T,C,B,
MGTCD,"Motor gasoline average price, all sectors.",Dollars per million Btu,MG,T,C,D,
MGTCK,"Factor converting motor gasoline physical units to Btu, United States only.",Million Btu per barrel,MG,T,C,K,
MGTCP,Motor gasoline total consumption.,Thousand barrels,MG,T,C,P,
MGTCV,Motor gasoline total expenditures.,Million dollars,MG,T,C,V,
MGTXB,Motor gasoline total end-use consumption.,Billion Btu,MG,T,X,B,
MGTXD,"Motor gasoline average price, all end-use sectors.",Dollars per million Btu,MG,T,X,D,
MGTXP,Motor gasoline total end-use consumption.,Thousand barrels,MG,T,X,P,
MGTXV,Motor gasoline total end-use expenditures.,Million dollars,MG,T,X,V,
